,2021-Blockzilla,Website,rank,2014-Blockzilla,2015-Blockzilla,2016-Blockzilla,2017-Blockzilla,2018-Blockzilla,2019-Blockzilla,2020-Blockzilla
145,14,elwatannews.com,607.0,15,39,11,14,18,25,0
332,2,ticketmaster.com,609.0,24,15,20,18,25,2,2
54,8,techcrunch.com,610.0,1,19,20,25,28,15,9
116,9,chron.com,611.0,30,14,8,7,6,12,12
31,1,lenta.ru,613.0,2,0,0,3,2,2,2
262,23,nba.com,617.0,68,78,46,33,23,19,0
285,9,pcmag.com,619.0,30,7,12,13,12,5,7
283,9,pchome.com.tw,620.0,1,1,1,17,0,21,9
16,20,eksisozluk.com,621.0,4,13,4,13,21,18,17
2,7,9gag.com,622.0,7,10,18,17,14,15,33
303,2,sarkariresult.com,623.0,7,19,10,10,10,10,16
230,1,jianshu.com,625.0,1,2,1,1,1,1,7
67,14,vnexpress.net,626.0,6,13,39,35,7,3,5
137,1,doordash.com,627.0,7,6,2,6,6,1,1
122,18,clickfunnels.com,631.0,1,1,1,1,1,1,11
72,5,52pk.com,635.0,7,5,5,5,5,3,3
380,1,canada.ca,636.0,1,1,1,2,1,1,1
107,7,bolasport.com,638.0,24,23,16,12,1,3,11
147,1,ecer.com,640.0,9,4,1,1,1,2,8
90,1,asriran.com,641.0,2,2,2,5,10,1,1
257,9,merriam-webster.com,642.0,13,11,3,3,7,11,13
34,4,patch.com,645.0,4,7,8,10,11,10,3
5,2,as.com,648.0,5,3,5,10,12,5,10
21,12,freshdesk.com,649.0,6,3,3,7,5,7,8
20,4,elementor.com,653.0,3,0,0,5,2,6,6
139,2,docin.com,654.0,3,2,2,2,1,2,2
320,6,t-mobile.com,656.0,12,9,3,1,4,4,7
136,15,dostor.org,657.0,21,20,2,8,12,6,19
105,6,biblegateway.com,662.0,3,4,4,3,5,16,16
59,16,trello.com,666.0,3,1,1,6,10,9,18
180,4,google.co.ve,668.0,1,1,3,1,1,4,4
317,1,southcn.com,669.0,24,6,5,4,4,1,1
38,2,parsfootball.com,673.0,6,4,24,17,7,1,1
83,3,allrecipes.com,677.0,40,54,36,38,14,12,13
195,4,google.dz,678.0,1,1,1,1,1,4,1
330,2,theepochtimes.com,679.0,14,14,11,15,8,4,8
24,6,fontawesome.com,682.0,1,3,3,1,1,3,4
0,1,eee114.com,683.0,3,3,3,3,3,1,1
270,23,olx.in,684.0,8,18,13,13,12,15,35
360,5,wish.com,685.0,4,5,1,8,6,8,11
217,6,iherb.com,689.0,4,4,7,5,7,4,5
25,19,fril.jp,690.0,7,8,6,5,5,9,5
241,1,lenovo.com,694.0,1,5,1,1,1,1,1
376,5,animeflv.net,699.0,20,12,6,9,4,4,2
128,66,dcinside.com,703.0,93,0,0,0,73,73,80
30,3,leetcode.com,704.0,2,2,1,1,1,1,1
53,11,taleo.net,705.0,0,0,2,2,2,3,4
73,1,51sole.com,706.0,8,1,2,1,1,1,1
210,4,info.com,708.0,1,1,4,4,1,1,1
201,8,hindustantimes.com,709.0,9,10,3,4,4,6,13
99,1,bedbathandbeyond.com,710.0,22,22,8,5,9,1,14
103,3,bhaskar.com,711.0,6,14,16,13,19,8,2
327,1,thingiverse.com,712.0,2,1,1,1,1,3,8
310,1,shopstyle.com,713.0,30,52,4,13,8,1,5
225,1,ionos.com,716.0,11,10,0,0,0,15,15
342,1,turkiye.gov.tr,718.0,1,1,1,1,1,1,1
235,3,kickstarter.com,720.0,9,4,3,5,4,4,4
267,21,nikkei.com,723.0,4,3,6,6,10,21,18
276,3,otto.de,724.0,2,1,1,1,1,6,3
277,3,overstock.com,725.0,15,15,6,2,4,2,6
323,23,surveymonkey.com,729.0,13,7,5,5,4,10,20
